City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto lleras,3.0223,-73.4044,31.56,54,93,0.73,CO,1728917557
1,puerto ayora,-0.7393,-90.3518,21.42,95,89,1.79,EC,1728917559
2,port-aux-francais,-49.35,70.2167,2.43,66,40,11.95,TF,1728917560
3,smithers,54.7804,-127.1743,7.18,100,75,1.03,CA,1728917561
4,mili,6.0815,171.735,29.21,74,64,5.95,MH,1728917562
5,quibdo,5.6947,-76.6611,27.19,89,40,0.0,CO,1728917563
6,moquegua,-17.1956,-70.9353,25.49,20,100,3.29,PE,1728917484
7,cestos city,5.46,-9.5828,24.12,91,100,3.58,LR,1728917565
8,olonkinbyen,70.9221,-8.7187,-2.07,89,99,8.01,SJ,1728917566
9,adamstown,-25.066,-130.1015,20.79,80,100,10.89,PN,1728917568
10,alaghsas,17.0187,8.0168,37.94,9,0,3.09,NE,1728917569
11,arraial do cabo,-22.9661,-42.0278,25.98,53,20,6.17,BR,1728917570
12,waitangi,-43.9535,-176.5597,9.9,97,100,0.45,NZ,1728917572
13,colonia,50.9333,6.95,11.09,88,75,2.06,DE,1728917530
14,georgetown,5.4112,100.3354,28.96,88,40,2.68,MY,1728917569
15,laojunmiao,39.8333,97.7333,10.49,38,72,4.4,CN,1728917576
16,businga,3.3333,20.8833,25.55,95,98,0.19,CD,1728917577
17,xiva,41.3783,60.3639,10.73,37,15,3.45,UZ,1728917578
18,portland,45.5234,-122.6762,13.86,92,75,3.09,US,1728917138
19,avarua,-21.2078,-159.775,20.03,77,75,1.03,CK,1728917581
20,salalah,17.0151,54.0924,29.05,79,0,2.57,OM,1728917583
21,grytviken,-54.2811,-36.5092,2.18,91,68,6.23,GS,1728917584
22,dhidhdhoo,6.8833,73.1,28.2,77,100,6.28,MV,1728917585
23,harper,4.375,-7.7169,26.39,80,90,5.25,LR,1728917586
24,walvis bay,-22.9575,14.5053,18.53,68,0,4.12,NA,1728917587
25,at taj,24.2049,23.2857,35.38,15,0,5.49,LY,1728917589
26,bandar-e lengeh,26.5579,54.8807,33.06,49,0,2.06,IR,1728917590
27,inirida,3.8653,-67.9239,30.12,54,100,0.39,CO,1728917591
28,iqaluit,63.7506,-68.5145,-0.15,80,75,9.77,CA,1728917419
29,greenville,35.6127,-77.3663,23.41,70,0,3.09,US,1728917414
30,saint-philippe,-21.3585,55.7679,21.92,78,34,5.32,RE,1728917594
31,tofol,5.3248,163.0078,28.85,77,100,6.27,FM,1728917595
32,codrington,-38.2667,141.9667,10.8,92,25,5.93,AU,1728917597
33,edinburgh of the seven seas,-37.0676,-12.3116,13.73,94,100,13.74,SH,1728917598
34,puerto natales,-51.7236,-72.4875,11.25,50,75,11.32,CL,1728917599
35,college,64.8569,-147.8028,-1.03,92,100,1.54,US,1728917600
36,petropavlovsk-kamchatsky,53.0452,158.6483,6.33,57,0,5.0,RU,1728917601
37,malango,-2.9627,119.9001,19.53,99,100,0.79,ID,1728917602
38,tazacorte,28.629,-17.9293,25.54,74,20,4.63,ES,1728917603
39,saipan,15.1355,145.701,27.39,83,40,2.06,MP,1728917605
40,aasiaat,68.7098,-52.8699,-0.97,84,78,0.75,GL,1728917609
41,oriximina,-1.7656,-55.8661,36.43,35,100,1.39,BR,1728917595
42,isafjordur,66.0755,-23.124,2.02,64,100,4.12,IS,1728917611
43,sitka,57.0531,-135.33,9.94,71,100,4.63,US,1728917612
44,albany,42.6001,-73.9662,8.65,81,100,1.33,US,1728917497
45,brookings,44.3114,-96.7984,4.54,84,91,0.54,US,1728917614
46,phang nga,8.4509,98.5298,24.55,95,98,1.04,TH,1728917615
47,anadyr,64.75,177.4833,-3.72,85,100,1.0,RU,1728917617
48,kozan,37.4552,35.8157,25.62,54,68,2.49,TR,1728917618
49,sao vicente,-23.9631,-46.3919,22.21,26,100,3.6,BR,1728917619
50,thompson,55.7435,-97.8558,-3.91,100,20,1.54,CA,1728917620
51,nar'yan-mar,67.6713,53.087,1.03,98,100,4.7,RU,1728917621
52,new norfolk,-42.7826,147.0587,4.4,98,0,0.56,AU,1728917622
53,qaqortoq,60.7167,-46.0333,5.31,42,72,2.0,GL,1728917623
54,bengkulu,-3.8004,102.2655,25.72,83,100,1.2,ID,1728917343
55,alto barinas,8.5931,-70.2261,28.36,66,100,1.2,VE,1728917625
56,aktau,43.65,51.2,7.32,31,71,6.56,KZ,1728917627
57,bilibino,68.0546,166.4372,-5.07,96,100,1.15,RU,1728917628
